A,B,C,State,County,Municipality,Zip,Area,D,E,F,State_dest,County_dest,Municipality_dest,Zip_dest,Area_dest,Mode,Number,MOE
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,1,59735,Massachusetts,Barnstable County,Sandwich town,12700,"Barnstable Town, MA ","Car, truck, or van: Drove alone",36,32
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",364,137
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",10,15
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",Other travel mode,240,111
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,2690,Massachusetts,Bristol County,Attleboro city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",26,31
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,16425,Massachusetts,Bristol County,Dartmouth town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",671,154
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,16425,Massachusetts,Bristol County,Dartmouth town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",47,46
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,22130,Massachusetts,Bristol County,Fairhaven town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",314,129
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,22130,Massachusetts,Bristol County,Fairhaven town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",23,26
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,23000,Massachusetts,Bristol County,Fall River city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",58,43
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,25240,Massachusetts,Bristol County,Freetown town,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone",88,84
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Drove alone","1,497",306
25,5,520,Massachusetts,Bristol County,Acushnet town,39300,"Providence-Warwick, RI-MA ",25,5,45000,Massachusetts,Bristol County,New Bedford city,39300,"Providence-Warwick, RI-MA ","Car, truck, or van: Carpooled",56,47
